,scenario,mean_exposures,std_exposures,skew,kurtosis,ks_vs_normal,ks_p,gini
0,S0_NoAlgorithm,5.6133482695595776,1.339052791801661,1.2856886931059843,5.895436755589838,0.26616931263612464,0.0,0.11823353472309714
1,S1_Baseline,5.6021302519357,1.2722257928140381,1.1113819491128156,5.308993964185516,0.26715171804462057,0.0,0.1124384551345968
2,S2_AlgoBoostOnly,5.547946097259293,1.2742680113707001,0.832870770112247,4.02586941420225,0.25800760485466223,0.0,0.11559533386458781
3,S3_HighEngagementOnly,5.507334761826273,1.39227235801244,1.1717143924619389,4.577237283591415,0.22800786842191,0.0,0.12963935573409255
4,S4_BoostPlusEngagement,5.493333868765561,1.3607306954241394,1.251819574155151,5.518261760382417,0.24076960512976187,0.0,0.1250932938892453
5,S5_InfluencerSeed,5.574699552273977,1.2626395871881386,1.0584779878177069,5.064916004537116,0.26109864060859955,0.0,0.11296614579700769
