,scenario,m1,m2,pearson_r,pearson_p,spearman_r,spearman_p
21,S1_Baseline,peak_engaged,lifetime,-0.13905069824297062,0.46366731418642293,-0.18094516843187208,0.33862008325027027
22,S1_Baseline,peak_engaged,decay_rate,0.31087692739070466,0.09450178200957723,0.3993784233166912,0.028783728506098366
23,S1_Baseline,peak_engaged,auc_engaged,0.3215629748331959,0.08313225353962202,0.21795222154338184,0.24726274559957045
24,S1_Baseline,time_to_viral,lifetime,-0.2938924520455899,0.11494383015575851,-0.2554223968974957,0.1731087067156789
25,S1_Baseline,time_to_viral,decay_rate,0.01835346302810388,0.9233121315597193,-0.046753319795094485,0.8061999324994359
26,S1_Baseline,time_to_viral,auc_engaged,-0.26017986330356524,0.16496643510743783,-0.20964606903543181,0.2661814619052216
27,S1_Baseline,lifetime,decay_rate,0.11591145105789463,0.5418895956251417,0.007124570792760947,0.9701938791801552
28,S1_Baseline,lifetime,auc_engaged,-0.018773437119457732,0.9215626120473026,-0.01881750653498712,0.9213790492328016
29,S1_Baseline,decay_rate,auc_engaged,0.043743061959997345,0.8184650240237634,0.04962171907451838,0.7945545664115167
30,S2_AlgoBoostOnly,viral_reach,peak_engaged,0.9169457516406774,1.0890348332743998e-12,0.9314915953973623,8.05446067903525e-14
31,S2_AlgoBoostOnly,viral_reach,time_to_viral,-0.4846062672445468,0.006649650348922161,-0.3413743152010161,0.0648576364175823
32,S2_AlgoBoostOnly,viral_reach,lifetime,-0.22096211081722972,0.2406326997292885,-0.11196160238012286,0.5558354865102038
33,S2_AlgoBoostOnly,viral_reach,decay_rate,-0.6979988806836978,1.8018422718648892e-05,-0.6001782282384637,0.0004548061059013215
34,S2_AlgoBoostOnly,viral_reach,auc_engaged,0.9893749156917118,5.364108763318234e-25,0.909475610254966,3.4692162081441564e-12
35,S2_AlgoBoostOnly,peak_engaged,time_to_viral,-0.3617275904050363,0.049510974631833495,-0.33723639233123126,0.0683885662565235
36,S2_AlgoBoostOnly,peak_engaged,lifetime,-0.16345378058784435,0.3881059116594133,-0.15730225784223673,0.4064502064002077
37,S2_AlgoBoostOnly,peak_engaged,decay_rate,-0.6349192665222916,0.00016397017189162755,-0.6398755143248426,0.00014032727593300267
38,S2_AlgoBoostOnly,peak_engaged,auc_engaged,0.8962264166121312,2.1590503898370354e-11,0.8750557660979669,2.5371443818642907e-10
39,S2_AlgoBoostOnly,time_to_viral,lifetime,0.7299342863390511,4.70174550961397e-06,0.663230497883107,6.485177104974114e-05
40,S2_AlgoBoostOnly,time_to_viral,decay_rate,0.15467254153450005,0.41443890854586296,0.222844724796931,0.2365465054573939
41,S2_AlgoBoostOnly,time_to_viral,auc_engaged,-0.48681323263166204,0.006370198842664256,-0.398343843503939,0.029238874521863134
42,S2_AlgoBoostOnly,lifetime,decay_rate,-0.07790043019988432,0.682414334026499,-0.08251375155598133,0.6646638777959517
43,S2_AlgoBoostOnly,lifetime,auc_engaged,-0.20860746256570648,0.26861151975852904,-0.12246616871379677,0.5191174883274183
44,S2_AlgoBoostOnly,decay_rate,auc_engaged,-0.6996151417848467,1.6903968729444566e-05,-0.6026483033003267,0.0004246239338035067
45,S3_HighEngagementOnly,viral_reach,peak_engaged,0.5237521728881034,0.002973983833213794,0.43715447295146653,0.015708879286306408
46,S3_HighEngagementOnly,viral_reach,time_to_viral,-0.4351718194835126,0.016242882363492625,-0.4222732048880184,0.020097155679018694
47,S3_HighEngagementOnly,viral_reach,lifetime,-0.16542855550425886,0.3823197727632801,-0.015360084970736909,0.9357915733268845
48,S3_HighEngagementOnly,viral_reach,decay_rate,-0.4096287413554087,0.024578166856158205,-0.3143016624662087,0.09073677342956504
49,S3_HighEngagementOnly,viral_reach,auc_engaged,0.8249546891202152,2.056485082387356e-08,0.8467447053976331,3.687184554410629e-09
50,S3_HighEngagementOnly,peak_engaged,time_to_viral,-0.25958259618002866,0.16597339999815575,-0.10539391420782199,0.579383874118224
51,S3_HighEngagementOnly,peak_engaged,lifetime,-0.3225406313846333,0.08214684969087699,-0.038336900947899655,0.8405960148399652
52,S3_HighEngagementOnly,peak_engaged,decay_rate,-0.4207402000605767,0.020601591110317726,-0.43478763017555067,0.016348082257543518
53,S3_HighEngagementOnly,peak_engaged,auc_engaged,0.6550356251307445,8.565913960157135e-05,0.5443228172120645,0.0018731965487560449
54,S3_HighEngagementOnly,time_to_viral,lifetime,0.28622222791407315,0.12518398367111466,0.46551330278084835,0.009532318450480156
55,S3_HighEngagementOnly,time_to_viral,decay_rate,0.18198636849846633,0.33580085508283003,0.1302921824097486,0.49255531088667925
56,S3_HighEngagementOnly,time_to_viral,auc_engaged,-0.369262701823384,0.044621731675926646,-0.37461825063738813,0.04138683878249004
57,S3_HighEngagementOnly,lifetime,decay_rate,0.10770820957254075,0.5710356372754627,0.009256075420096061,0.9612824435637624
