,source,sum_sq,df,F,PR(>F),metric
0,C(engagement),112546.87499999997,1.0,545.817939966916,1.1106315712437187e-45,peak_engaged
1,C(algo),195132.67500000008,1.0,946.3338248061868,1.284867174480428e-57,peak_engaged
2,C(engagement):C(algo),20777.00833333338,1.0,100.76213921688607,1.916471979021901e-17,peak_engaged
3,Residual,23919.033333333333,116.0,,,peak_engaged
