,scenario,n,viral_reach_mean,viral_reach_std,peak_engaged_mean,peak_engaged_std,time_to_viral_mean,time_to_viral_std,lifetime_mean,lifetime_std,decay_rate_mean,decay_rate_std,auc_engaged_mean,auc_engaged_std
0,S0_NoAlgorithm,30,0.2765,0.02333969535598836,20.566666666666666,6.201686830228521,10.833333333333334,7.225831694563672,59.13333333333333,38.787425382668694,-0.015722742543075336,0.0044606844522828305,549.9,63.40637953327127
1,S1_Baseline,30,0.3873666666666667,0.01929531537452288,24.966666666666665,4.4604262463189075,7.366666666666666,2.442205522901779,115.7,32.31861852629651,-0.010972681853946497,0.0014266775987443424,746.9666666666667,41.278267917862664
2,S2_AlgoBoostOnly,30,0.22053333333333336,0.08680844283320856,74.9,18.164668243978284,11.2,3.1666364184883227,21.333333333333332,3.5654794457633487,-0.018268352765194906,0.007323013180595715,508.96666666666664,222.56443984845708
3,S3_HighEngagementOnly,30,0.4840999999999999,0.024616156735237798,55.5,4.847679857416329,5.4,3.644551909451923,23.633333333333333,2.988291327409572,-0.035106261837025955,0.011290918052479174,940.9666666666667,60.81769441554809
4,S4_BoostPlusEngagement,30,0.45396666666666674,0.027082865601619825,162.46666666666667,20.80572423443943,4.133333333333334,1.50248835748162,18.6,1.9930915164897591,-0.0786531820052619,0.03323097948290755,946.5333333333333,72.06067047901412
5,S5_InfluencerSeed,30,0.3960666666666667,0.017799522142623574,25.9,4.656104632074712,2.2666666666666666,0.5208304597621878,111.1,42.08968257554748,-0.011091704038990789,0.0017135074521393782,743.0333333333333,43.44356889300094
