,metric,levene_stat,levene_p,anova_F,anova_p,eta_squared,kruskal_H,kruskal_p
0,viral_reach,11.829225266162855,7.363702357163854e-10,185.65293756205355,8.57647948996659e-68,0.8421431785629779,159.93644542259926,1.0211807039337386e-32
1,peak_engaged,16.651241869702986,2.001416028634785e-13,610.1490716307059,2.804800494896712e-108,0.9460422511935542,155.11302181499883,1.0884253213080612e-31
2,time_to_viral,7.0236841059865744,5.277505307337721e-06,28.08509590390456,8.369605240807263e-21,0.44660973320008485,118.64823772586163,6.067465646767003e-24
3,lifetime,14.748613896437096,4.704447700777437e-12,84.71856870942175,9.001179005186628e-45,0.7088318545329376,149.65756237464026,1.5791244473485752e-30
4,decay_rate,18.125483350495763,1.860178322732023e-14,94.43047717991327,1.0517712317282241e-47,0.730713677149456,141.48149785144255,8.664175763443353e-29
5,auc_engaged,10.767057393605604,4.93803543757449e-09,94.09857590504092,1.3136405080941728e-47,0.730020291103627,136.99214160927292,7.796005836159792e-28
