viral_reach,peak_engaged,peak_tick,time_to_viral,lifetime,decay_rate,auc_engaged,final_fatigued,scenario,seed
0.153,63,10,10,20,-0.016526256115916373,342.0,462,S2_AlgoBoostOnly,1014
0.174,75,14,14,26,-0.012811558965778562,414.0,472,S2_AlgoBoostOnly,1017
0.159,68,12,12,20,-0.021459132895882416,332.0,442,S2_AlgoBoostOnly,1016
0.149,61,16,16,27,-0.015548107188934531,371.0,454,S2_AlgoBoostOnly,1020
0.349,107,13,12,19,-0.03125366906555136,805.0,624,S2_AlgoBoostOnly,1018
0.352,95,12,10,23,-0.02776433708142165,831.0,618,S2_AlgoBoostOnly,1019
0.148,47,9,9,21,-0.012546115516549246,318.0,451,S2_AlgoBoostOnly,1021
0.32,85,9,7,19,-0.021404957289580768,733.0,602,S2_AlgoBoostOnly,1022
0.33,94,12,11,24,-0.04413939495431301,805.0,619,S2_AlgoBoostOnly,1023
0.163,59,19,19,27,-0.01654698508398265,363.0,474,S2_AlgoBoostOnly,1024
0.329,88,11,9,23,-0.021672489238796146,778.0,592,S2_AlgoBoostOnly,1025
0.147,48,13,13,19,-0.010862026383912156,287.0,439,S2_AlgoBoostOnly,1026
0.143,54,10,10,18,-0.011673660761599411,320.0,431,S2_AlgoBoostOnly,1027
0.168,68,11,11,23,-0.02023399595958947,399.0,470,S2_AlgoBoostOnly,1028
0.36,100,9,7,19,-0.017666053957513656,907.0,624,S2_AlgoBoostOnly,1029
0.492,57,12,8,26,-0.024351039108315563,963.0,815,S3_HighEngagementOnly,1000
0.47,58,5,3,21,-0.03245878568181881,890.0,783,S3_HighEngagementOnly,1001
0.492,54,4,2,21,-0.034530145128564504,918.0,806,S3_HighEngagementOnly,1004
0.518,56,10,5,25,-0.044025478540697015,965.0,827,S3_HighEngagementOnly,1003
0.459,46,12,7,26,-0.02278163957692059,850.0,778,S3_HighEngagementOnly,1002
0.483,55,9,4,25,-0.048206075860315306,951.0,795,S3_HighEngagementOnly,1005
0.455,46,7,4,25,-0.039047806484866276,835.0,778,S3_HighEngagementOnly,1006
0.462,58,10,5,23,-0.02512462237081329,883.0,795,S3_HighEngagementOnly,1007
0.476,55,7,3,24,-0.03209335338184798,974.0,796,S3_HighEngagementOnly,1008
0.485,59,8,5,22,-0.032083156625606256,967.0,817,S3_HighEngagementOnly,1009
0.544,62,5,3,22,-0.0631045229893199,1071.0,848,S3_HighEngagementOnly,1010
0.52,64,8,4,27,-0.029427462466827054,1021.0,819,S3_HighEngagementOnly,1012
0.461,55,10,6,23,-0.05114321221760277,847.0,779,S3_HighEngagementOnly,1011
0.501,57,7,4,22,-0.034968525442843235,986.0,831,S3_HighEngagementOnly,1013
0.47,61,8,5,22,-0.034675414675462805,905.0,797,S3_HighEngagementOnly,1014
0.5,61,6,4,24,-0.062439363789021714,996.0,824,S3_HighEngagementOnly,1015
0.474,55,6,3,22,-0.022165028567040584,956.0,792,S3_HighEngagementOnly,1016
0.502,61,8,5,23,-0.05138793151323757,1039.0,821,S3_HighEngagementOnly,1017
0.486,54,9,4,22,-0.02572206845406245,921.0,816,S3_HighEngagementOnly,1018
0.53,59,5,3,23,-0.04257649764469911,985.0,834,S3_HighEngagementOnly,1020
0.449,45,14,11,36,-0.023941828940911444,853.0,798,S3_HighEngagementOnly,1019
0.467,53,6,2,21,-0.027474684460834863,962.0,776,S3_HighEngagementOnly,1022
0.507,53,10,5,24,-0.02563961136896805,993.0,828,S3_HighEngagementOnly,1021
0.466,48,23,18,20,-0.027712997482821074,887.0,818,S3_HighEngagementOnly,1023
0.447,55,10,8,22,-0.03452079500264881,913.0,808,S3_HighEngagementOnly,1024
0.453,62,19,15,25,-0.03443164155984177,920.0,799,S3_HighEngagementOnly,1025
0.474,51,9,7,27,-0.0386708993227563,867.0,801,S3_HighEngagementOnly,1026
0.479,54,6,2,21,-0.027632372889038477,915.0,814,S3_HighEngagementOnly,1027
0.501,57,5,3,22,-0.04043003792434478,997.0,840,S3_HighEngagementOnly,1029
0.5,54,7,4,23,-0.020420855638731777,999.0,819,S3_HighEngagementOnly,1028
0.48,184,7,5,17,-0.08147472819643228,1023.0,828,S4_BoostPlusEngagement,1000
0.465,194,4,2,17,-0.04554597470356188,996.0,816,S4_BoostPlusEngagement,1001
0.424,136,8,5,19,-0.07302691658209716,842.0,823,S4_BoostPlusEngagement,1002
0.451,154,5,3,18,-0.057328744886790656,952.0,835,S4_BoostPlusEngagement,1003
0.477,181,4,2,16,-0.07274886311020771,1055.0,838,S4_BoostPlusEngagement,1004
0.462,158,7,3,19,-0.07571489063825426,957.0,825,S4_BoostPlusEngagement,1005
0.434,140,7,4,19,-0.05542483160122066,881.0,832,S4_BoostPlusEngagement,1007
0.425,141,7,4,19,-0.047595373885538736,829.0,816,S4_BoostPlusEngagement,1006
0.434,142,7,4,19,-0.12338611023581102,931.0,825,S4_BoostPlusEngagement,1009
0.496,204,5,2,15,-0.06423898931739738,1048.0,856,S4_BoostPlusEngagement,1008
0.496,221,7,5,16,-0.11155957542142884,1084.0,874,S4_BoostPlusEngagement,1010
0.493,177,9,6,21,-0.09902416236676233,1040.0,850,S4_BoostPlusEngagement,1011
0.425,137,9,6,21,-0.06956406359045901,884.0,818,S4_BoostPlusEngagement,1012
0.445,159,8,5,20,-0.06905495415846766,964.0,839,S4_BoostPlusEngagement,1013
0.482,154,7,4,19,-0.1096542260578559,1028.0,832,S4_BoostPlusEngagement,1017
0.478,175,7,5,18,-0.09203716111132783,978.0,848,S4_BoostPlusEngagement,1014
0.486,164,7,4,18,-0.0729027791358644,1038.0,868,S4_BoostPlusEngagement,1016
