,S0_NoAlgorithm,S1_Baseline,S2_AlgoBoostOnly,S3_HighEngagementOnly,S4_BoostPlusEngagement,S5_InfluencerSeed
S0_NoAlgorithm,0.0,-5.177490900738541,0.8804946932724692,-8.654897744976335,-7.0198604370275595,-5.7607795354829445
S1_Baseline,5.177490900738541,0.0,2.653163929409025,-4.37384142649631,-2.832387962046732,-0.46868708244319385
S2_AlgoBoostOnly,-0.8804946932724692,-2.653163929409025,0.0,-4.1309408490398765,-3.6303329168514016,-2.801365854044008
S3_HighEngagementOnly,8.654897744976335,4.37384142649631,4.1309408490398765,0.0,1.1643969608525746,4.098391956136199
S4_BoostPlusEngagement,7.0198604370275595,2.832387962046732,3.6303329168514016,-1.1643969608525746,0.0,2.52659672143394
S5_InfluencerSeed,5.7607795354829445,0.46868708244319385,2.801365854044008,-4.098391956136199,-2.52659672143394,0.0
