,S0_NoAlgorithm,S1_Baseline,S2_AlgoBoostOnly,S3_HighEngagementOnly,S4_BoostPlusEngagement,S5_InfluencerSeed
S0_NoAlgorithm,0.0,-0.8145611989402559,-4.003243911686319,-6.276190231420038,-9.243377035552248,-0.972593099270237
S1_Baseline,0.8145611989402559,0.0,-3.7754112068276475,-6.554919421428949,-9.138547329704313,-0.2047090988018019
S2_AlgoBoostOnly,4.003243911686319,3.7754112068276475,0.0,1.459316715450973,-4.483725172317375,3.6954331406275256
S3_HighEngagementOnly,6.276190231420038,6.554919421428949,-1.459316715450973,0.0,-7.0811049837515325,6.227832310135115
S4_BoostPlusEngagement,9.243377035552248,9.138547329704313,4.483725172317375,7.0811049837515325,0.0,9.058688103569235
S5_InfluencerSeed,0.972593099270237,0.2047090988018019,-3.6954331406275256,-6.227832310135115,-9.058688103569235,0.0
