,group1,group2,meandiff,p-adj,lower,upper,reject,metric
50,S1_Baseline,S2_AlgoBoostOnly,-94.3667,0.0,-114.3922,-74.3411,True,lifetime
51,S1_Baseline,S3_HighEngagementOnly,-92.0667,0.0,-112.0922,-72.0411,True,lifetime
52,S1_Baseline,S4_BoostPlusEngagement,-97.1,0.0,-117.1256,-77.0744,True,lifetime
53,S1_Baseline,S5_InfluencerSeed,-4.6,0.9858,-24.6256,15.4256,False,lifetime
54,S2_AlgoBoostOnly,S3_HighEngagementOnly,2.3,0.9995,-17.7256,22.3256,False,lifetime
55,S2_AlgoBoostOnly,S4_BoostPlusEngagement,-2.7333,0.9988,-22.7589,17.2922,False,lifetime
56,S2_AlgoBoostOnly,S5_InfluencerSeed,89.7667,0.0,69.7411,109.7922,True,lifetime
57,S3_HighEngagementOnly,S4_BoostPlusEngagement,-5.0333,0.9787,-25.0589,14.9922,False,lifetime
58,S3_HighEngagementOnly,S5_InfluencerSeed,87.4667,0.0,67.4411,107.4922,True,lifetime
59,S4_BoostPlusEngagement,S5_InfluencerSeed,92.5,0.0,72.4744,112.5256,True,lifetime
60,S0_NoAlgorithm,S1_Baseline,0.0048,0.814,-0.0062,0.0157,False,decay_rate
61,S0_NoAlgorithm,S2_AlgoBoostOnly,-0.0025,0.9853,-0.0135,0.0084,False,decay_rate
62,S0_NoAlgorithm,S3_HighEngagementOnly,-0.0194,0.0,-0.0304,-0.0084,True,decay_rate
63,S0_NoAlgorithm,S4_BoostPlusEngagement,-0.0629,0.0,-0.0739,-0.0519,True,decay_rate
64,S0_NoAlgorithm,S5_InfluencerSeed,0.0046,0.8297,-0.0064,0.0156,False,decay_rate
65,S1_Baseline,S2_AlgoBoostOnly,-0.0073,0.3983,-0.0183,0.0037,False,decay_rate
66,S1_Baseline,S3_HighEngagementOnly,-0.0241,0.0,-0.0351,-0.0131,True,decay_rate
67,S1_Baseline,S4_BoostPlusEngagement,-0.0677,0.0,-0.0787,-0.0567,True,decay_rate
68,S1_Baseline,S5_InfluencerSeed,-0.0001,1.0,-0.0111,0.0109,False,decay_rate
69,S2_AlgoBoostOnly,S3_HighEngagementOnly,-0.0168,0.0003,-0.0278,-0.0058,True,decay_rate
70,S2_AlgoBoostOnly,S4_BoostPlusEngagement,-0.0604,0.0,-0.0714,-0.0494,True,decay_rate
71,S2_AlgoBoostOnly,S5_InfluencerSeed,0.0072,0.4174,-0.0038,0.0182,False,decay_rate
72,S3_HighEngagementOnly,S4_BoostPlusEngagement,-0.0435,0.0,-0.0545,-0.0326,True,decay_rate
73,S3_HighEngagementOnly,S5_InfluencerSeed,0.024,0.0,0.013,0.035,True,decay_rate
74,S4_BoostPlusEngagement,S5_InfluencerSeed,0.0676,0.0,0.0566,0.0786,True,decay_rate
75,S0_NoAlgorithm,S1_Baseline,197.0667,0.0,119.0062,275.1271,True,auc_engaged
76,S0_NoAlgorithm,S2_AlgoBoostOnly,-40.9333,0.6576,-118.9938,37.1271,False,auc_engaged
77,S0_NoAlgorithm,S3_HighEngagementOnly,391.0667,0.0,313.0062,469.1271,True,auc_engaged
78,S0_NoAlgorithm,S4_BoostPlusEngagement,396.6333,0.0,318.5729,474.6938,True,auc_engaged
79,S0_NoAlgorithm,S5_InfluencerSeed,193.1333,0.0,115.0729,271.1938,True,auc_engaged
80,S1_Baseline,S2_AlgoBoostOnly,-238.0,0.0,-316.0605,-159.9395,True,auc_engaged
81,S1_Baseline,S3_HighEngagementOnly,194.0,0.0,115.9395,272.0605,True,auc_engaged
82,S1_Baseline,S4_BoostPlusEngagement,199.5667,0.0,121.5062,277.6271,True,auc_engaged
83,S1_Baseline,S5_InfluencerSeed,-3.9333,1.0,-81.9938,74.1271,False,auc_engaged
84,S2_AlgoBoostOnly,S3_HighEngagementOnly,432.0,0.0,353.9395,510.0605,True,auc_engaged
85,S2_AlgoBoostOnly,S4_BoostPlusEngagement,437.5667,0.0,359.5062,515.6271,True,auc_engaged
86,S2_AlgoBoostOnly,S5_InfluencerSeed,234.0667,0.0,156.0062,312.1271,True,auc_engaged
87,S3_HighEngagementOnly,S4_BoostPlusEngagement,5.5667,0.9999,-72.4938,83.6271,False,auc_engaged
88,S3_HighEngagementOnly,S5_InfluencerSeed,-197.9333,0.0,-275.9938,-119.8729,True,auc_engaged
89,S4_BoostPlusEngagement,S5_InfluencerSeed,-203.5,0.0,-281.5605,-125.4395,True,auc_engaged
