,source,sum_sq,df,F,PR(>F),metric
0,C(engagement),1.458828008333337,1.0,619.4675104593515,2.4168063926203674e-48,viral_reach
1,C(algo),0.05559907500000019,1.0,23.609240004544155,3.7299777904189658e-06,viral_reach
2,C(engagement):C(algo),0.005005208333333582,1.0,2.125380050197176,0.1475789127412549,viral_reach
3,Residual,0.2731766333333333,116.0,,,viral_reach
